Company Name|Stock Name|Filing Time|New Product|Product Description
Microsoft|MSFT|2025-03-24|AI Security Copilot|An AI-powered tool designed to assist security teams by automating tasks such as triaging alerts and monitoring vulnerabilities.
Microsoft|MSFT|2024-10-21|Autonomous AI Agents|AI agents capable of performing tasks like handling client queries and identifying sales leads, enhancing productivity by automating routine processes.
Nike|NKE|2025-03-24|Air Max 2021|A modern iteration of the classic Air Max line, featuring enhanced cushioning and a sleek design.
Nike|NKE|2025-03-24|Air Max Plus Utility|Also known as the 'Toggle,' this model offers a rugged design with an additional lacing system for improved support.
Nike|NKE|2025-03-24|Air Max DN|Introduced on Air Max Day, this model features Nike's Dynamic Air cushioning technology for a responsive feel.
Nike|NKE|2025-03-24|Air Max 1000|Nike's first shoe predominantly crafted using 3D printing technology, offering a futuristic design and customizable fit.
Nike|NKE|2025-03-24|A'ja Wilson's Signature Shoe|A performance basketball shoe designed for WNBA star A'ja Wilson, featuring a predominantly pink colorway and unique design elements.
Nike|NKE|2025-03-24|Caitlin Clark's Signature Shoe|An upcoming signature shoe for WNBA star Caitlin Clark, marking her as the first female basketball player with her own logo.
Nike|NKE|2025-03-24|Nigo x Nike Air Force 3 Low|A collaboration with designer Nigo, featuring vibrant colors and a bold design, debuting at Paris Fashion Week.
Nike|NKE|2025-03-24|SB Dunk Low 'Born X Raised'|A collaboration with the streetwear brand Born X Raised, representing the streets of Los Angeles with unique design elements.
Nike|NKE|2025-03-24|Air Max Plus Tn Drift|A variant featuring a mesh upper with a prominent TPU cage, offering a modern take on the classic design.
Nike|NKE|2025-03-24|Air Max Waffle|A hybrid model combining the Air Max Plus's Tuned Air cushioning with the Waffle Trainer's classic outsole design.
Procter & Gamble|PG|2021-01-01|Crest Whitening Emulsions|A teeth-whitening product offering at-home teeth whitening solutions.
Procter & Gamble|PG|2018-01-01|GilletteLabs Heated Razor|A razor providing a heated shaving experience, mimicking a hot towel shave.
Procter & Gamble|PG|2019-01-01|Oral-B iO Electric Toothbrush|An electric toothbrush with AI-driven brushing feedback and personalized coaching.
Procter & Gamble|PG|2019-01-01|Dawn Powerwash Dish Spray|A dish spray allowing quick and easy cleaning, reducing the need for pre-soaking.
Procter & Gamble|PG|2020-01-01|Microban 24|A cleaning product offering 24-hour antibacterial protection with one application.
Procter & Gamble|PG|2021-01-01|Native Whole Body Deodorant|A deodorant line emphasizing natural ingredients, suitable for the entire body.
Procter & Gamble|PG|2019-01-01|Head & Shoulders BARE Shampoo|A shampoo with a simplified formula, providing effective dandruff protection.
Procter & Gamble|PG|2021-01-01|Tide Hygienic Clean|A laundry detergent designed to deeply clean fabrics, removing tough stains.
Procter & Gamble|PG|2021-01-01|Olay Regenerist Collagen Peptide 24|A skincare line combining collagen peptide and vitamin B3 complex for improved skin elasticity.
Procter & Gamble|PG|2021-01-01|Zevo Insect Trap|A non-toxic indoor insect trap using light and natural attractants to capture pests.
Raytheon Technologies|RTX|2025-03-24|Hypersonic Attack Cruise Missile (HACM)|A scramjet-powered missile under development in collaboration with Northrop Grumman, designed to reach speeds up to Mach 8.
Raytheon Technologies|RTX|2025-03-24|GhostEye Radar System|Also known as the Lower Tier Air and Missile Defense Sensor (LTAMDS), this radar system offers enhanced sensitivity and 360-degree coverage for improved threat detection.
Raytheon Technologies|RTX|2025-03-24|Coyote Block 2 Counter-UAS System|An interceptor drone equipped with a jet engine, enhancing speed and loitering capabilities to effectively counter small unmanned aerial systems.
Raytheon Technologies|RTX|2025-03-24|AIM-120D Advanced Medium-Range Air-to-Air Missile (AMRAAM)|An upgraded missile variant offering increased range and improved guidance for enhanced air-to-air combat effectiveness.
Raytheon Technologies|RTX|2025-03-24|Integrated Air and Missile Defense Battle Command System (IBCS)|A command and control system that integrates various air and missile defense assets, enhancing operational flexibility and effectiveness.
Raytheon Technologies|RTX|2025-03-24|AGM-181 Long Range Stand Off Weapon (LRSO)|A nuclear-armed cruise missile under development to replace the AGM-86 ALCM, featuring a range exceeding 1,500 miles.
Raytheon Technologies|RTX|2025-03-24|SPY-6 Radar System|A scalable radar system designed to enhance naval defense capabilities against advanced threats, including ballistic and cruise missiles.
Raytheon Technologies|RTX|2025-03-24|Paveway Precision Guided Bombs|Enhanced laser-guided bombs that offer improved accuracy and operational flexibility for various combat scenarios.
Raytheon Technologies|RTX|2025-03-24|Javelin Anti-Tank Guided Missile|A man-portable, fire-and-forget missile system that provides infantry with effective anti-tank capabilities.
Raytheon Technologies|RTX|2025-03-24|Patriot Advanced Capability-3 (PAC-3) Missile|An advanced interceptor designed to counter tactical ballistic missiles, cruise missiles, and air-breathing threats.
Salesforce|CRM|2021-12-01|Slack Integration|Following Salesforce's acquisition of Slack in 2021, the platform was integrated to enhance team collaboration, enabling seamless communication within Salesforce applications.
Salesforce|CRM|2021-12-15|Salesforce+|Launched as a streaming service, Salesforce+ offers original content, live experiences, and customer stories to engage audiences and share insights.
Salesforce|CRM|2022-03-10|Salesforce Genie|Introduced as a real-time data platform, Salesforce Genie aggregates data from various sources to provide unified customer profiles and personalized experiences.
Salesforce|CRM|2022-06-20|Sustainability Cloud 2.0|Expanded to offer comprehensive ESG (Environmental, Social, and Governance) reporting tools, helping businesses track and report their sustainability efforts.
Salesforce|CRM|2022-09-05|Salesforce CDP|Enhances data management capabilities by unifying customer data across channels, enabling personalized marketing and improved customer engagement.
Salesforce|CRM|2022-11-15|Tableau CRM|Formerly known as Einstein Analytics, this product integrates Tableau's analytics capabilities with Salesforce, providing advanced data visualization and business intelligence tools.
Salesforce|CRM|2024-02-01|Agentforce|An AI platform that allows businesses to create autonomous agents for customer service, marketing, and sales, enhancing operational efficiency through AI-driven automation.
Salesforce|CRM|2024-03-15|Einstein GPT|A generative AI platform that enhances CRM by handling complex tasks such as product returns and refunds, aiming to improve customer service operations.
Salesforce|CRM|2021-08-30|Experience Cloud|Formerly known as Community Cloud, Experience Cloud enables businesses to build branded online communities, portals, and forums to connect with customers, partners, and employees.
Salesforce|CRM|2021-10-05|Salesforce Health Cloud 2.0|Introduced features like Dreampass, contact tracing, and vaccine management to enhance healthcare services and patient engagement during the pandemic.
Starbucks|SBUX|2025-03-03|Iced Cherry Chai|A springtime twist on the classic Iced Chai Latte, featuring cherry-flavored cold foam and a crunchy topping.
Starbucks|SBUX|2025-03-04|Sunsera Blend Coffee|A light roast coffee made from 100% Arabica beans from Brazil and Colombia, with notes of Meyer lemon zest, toasted almond, Asian pear, and apricot.
Starbucks|SBUX|2025-02-04|Blackberry Sage Refreshers|A line of beverages blending sweet blackberry flavors with notes of sage, available with water, lemonade, or coconut milk.
Starbucks|SBUX|2023-09-22|Iced Apple Crisp Nondairy Cream Chai|Iced chai made with oat milk, topped with apple brown sugar and vanilla-flavored nondairy foam.
Starbucks|SBUX|2023-01-15|Oleato Beverages|Coffee drinks infused with extra virgin olive oil, including Oleato Caffè Latte and Iced Shaken Espresso. (Discontinued in November 2024)
Starbucks|SBUX|2024-10-22|Glinda's Pink Potion|A mango dragonfruit refresher with coconut milk, topped with strawberry cold foam and sprinkles, inspired by the 'Wicked' musical.
Starbucks|SBUX|2024-10-22|Elphaba's Cold Brew|Peppermint-flavored cold brew topped with matcha cold foam and green sprinkles, inspired by the 'Wicked' musical.
Starbucks|SBUX|2025-02-15|Crema Collection|Premium instant coffees in flavors like Salted Caramel, Madagascar Vanilla, and Molten Chocolate, designed to mimic espresso.
Starbucks|SBUX|2020-03-01|Iced Golden Ginger Drink|Coconut milk blended with ginger and turmeric flavors, served over ice for a refreshing experience.
Starbucks|SBUX|2021-05-19|Strawberry Funnel Cake Frappuccino|A frappuccino featuring funnel-cake flavored syrup, strawberry puree, coffee, and milk, topped with whipped cream and powdered sugar funnel cake pieces.
The Travelers Companies, Inc.|TRV|2025-03-11|Travelers Synergy℠|Customizable product liability coverage for life sciences companies.
The Travelers Companies, Inc.|TRV|2024-07-01|Enhanced MyTravelers Web Experience|Improved digital platform with intuitive navigation and enhanced security.
The Travelers Companies, Inc.|TRV|2023-05-15|Cyber Insurance Solutions|Comprehensive coverage against cyber threats and data breaches.
The Travelers Companies, Inc.|TRV|2022-09-10|Travelers Edge®|Program offering educational resources and financial support for insurance careers.
The Travelers Companies, Inc.|TRV|2021-11-20|Surety Bonds for Contractors|Financial instruments guaranteeing contractor performance and compliance.
The Travelers Companies, Inc.|TRV|2022-03-05|Pet Insurance Coverage|Plans covering veterinary expenses for pets' medical costs.
The Travelers Companies, Inc.|TRV|2023-07-18|Travelers Risk Control Services|Consultative services for identifying and mitigating business risks.
The Travelers Companies, Inc.|TRV|2021-08-25|Business Auto Insurance Enhancements|Updated coverage options for commercial vehicle insurance.
The Travelers Companies, Inc.|TRV|2022-06-30|Workers Compensation Coverage Improvements|Enhanced policies supporting employees injured on the job.
The Travelers Companies, Inc.|TRV|2023-04-22|Homeowners Insurance Policy Updates|Revised coverage options addressing emerging risks for property owners.
UnitedHealth Group|UNH|2022-03-29|Optum's Acquisition of LHC Group|Expanded home health services for patients with chronic conditions.
UnitedHealth Group|UNH|2022-01-01|Expansion into Seven New States|Introduced health insurance products in Florida, Georgia, Michigan, Texas, Illinois, Alabama, and Louisiana.
UnitedHealth Group|UNH|2021-07-08|Predictive Analytics for Social Determinants of Health|Utilized analytics to address social factors affecting health for employer-sponsored members.
UnitedHealth Group|UNH|2021-01-01|Optum's Centralized Data Platform|Developed a platform using data analytics and machine learning to predict health conditions and reduce care costs.
UnitedHealth Group|UNH|2022-10-03|Optum's Acquisition of Change Healthcare|Combined data and analytics capabilities to streamline healthcare transactions.
UnitedHealth Group|UNH|2020-07-13|Level2 Digital Therapy for Type 2 Diabetes|Introduced a digital therapy combining wearable technology and personalized support for diabetes management.
UnitedHealth Group|UNH|2021-08-01|Optum's Acquisition of Solutran|Enhanced electronic payment solutions to improve healthcare transaction efficiency.
UnitedHealth Group|UNH|2020-05-19|Partnership with Microsoft for ProtectWell�|Launched a protocol and app to support return-to-workplace planning and symptom screening during COVID-19.
UnitedHealth Group|UNH|2022-06-01|Optum's Acquisition of Atrius Health|Expanded care delivery services to enhance patient care coordination in the northeastern U.S.
UnitedHealth Group|UNH|2020-06-05|Investment in Affordable Housing|Invested $100 million to address social determinants of health by improving access to affordable housing.
Verizon Communications|VZ|2025-01-15|Verizon AI Connect|A suite of solutions enabling businesses to deploy AI workloads at scale.
Verizon Communications|VZ|2025-03-20|Satellite Text Messaging Service|Allows select Android users to send text messages via satellite when out of cellular range.
Verizon Communications|VZ|2024-10-24|Verizon Family App|Offers safety features like real-time location sharing and emergency alerts to keep families connected.
Verizon Communications|VZ|2021-05-15|5G Ultra Wideband Expansion|Expanded 5G network with mmWave cell site deployment nearly double the previous two years combined.
Verizon Communications|VZ|2021-11-23|TracFone Acquisition|Acquired TracFone to expand prepaid offerings and customer base.
Verizon Communications|VZ|2022-06-10|Visible by Verizon|An all-digital prepaid mobile service offering unlimited plans on Verizon's network.
Verizon Communications|VZ|2021-04-29|Partnership with VIZIO|Collaboration to deliver new cross-platform and connected TV advertising solutions.
Verizon Communications|VZ|2024-02-02|RCS Implementation|Adopted Google's Jibe platform to enhance messaging services with features like read receipts and high-resolution images.
Verizon Communications|VZ|2024-10-15|Streaming Service Bundles|Offering discounted bundles of streaming services like Netflix and Max to simplify streaming for customers.
Verizon Communications|VZ|2021-06-05|5G Home and Business Internet|Expanded to parts of more than 60 U.S. cities, providing high-speed internet options.
Visa|V|2025-03-24|Visa Flexible Credential|Allows users to toggle between debit, credit, rewards points, and buy now, pay later options using a single Visa card.
Visa|V|2025-03-24|Tap to Everything|Enables NFC-enabled mobile devices to accept payments, transfer funds, and securely confirm identities by tapping with another device.
Visa|V|2025-03-24|Visa Payment Passkey Service|Utilizes biometric authentication for online transactions, replacing traditional passwords and enhancing security.
Visa|V|2025-03-24|Click to Pay|Simplifies online purchases by allowing consumers to complete transactions using their registered email, phone number, or Visa Payment Passkey.
Visa|V|2025-03-24|Visa Data Tokens|Provides consumers with control over their data, enabling personalized shopping experiences while managing data sharing preferences.
Visa|V|2025-03-24|Visa Protect for Account-to-Account Payments|An AI-powered tool that offers real-time fraud prevention for immediate transactions, including peer-to-peer digital wallets and QR payments.
Visa|V|2025-03-24|Visa Tokenized Asset Platform (VTAP)|Bridges fiat currencies with blockchain technology, allowing banks to mint, burn, and transfer fiat-backed tokens and stablecoins.
Visa|V|2025-03-24|Visa Mobile – Poland|Enables customers to store Visa cards in one place and use them to make online payments in three simple steps.
Visa|V|2025-03-24|Visa Direct Payouts|Allows businesses to deliver money to billions of endpoints worldwide through a single integration, supporting various use cases.
Visa|V|2025-03-24|DUX Academy by Visa|A program designed to foster the development of young female talent in esports, providing training and support to help participants compete at the highest level.
Walgreens Boots Alliance|WBA|2021-10-14|Walgreens Health|A consumer-centric healthcare segment offering personalized, whole-person healthcare services both in-store and through digital platforms.
Walgreens Boots Alliance|WBA|2021-10-14|Village Medical at Walgreens|Co-located primary care practices within Walgreens stores, enhancing access to value-based primary care across the U.S.
Walgreens Boots Alliance|WBA|2022-01-01|Recycle @ Boots In-Store Recycling Program|A program allowing customers to recycle hard-to-recycle beauty, health, and wellness items at over 700 Boots UK stores.
Walgreens Boots Alliance|WBA|2021-01-01|No7 Beauty Company Product Line Expansion|Expansion of the No7 Beauty Company line with new skincare and cosmetic products, focusing on innovative formulations and inclusivity.
Walgreens Boots Alliance|WBA|2021-01-01|Health Corner Services|In-person and virtual clinical services, including health checks and wellness advice, enhancing community health engagement.
Walgreens Boots Alliance|WBA|2021-01-01|COVID-19 Vaccination Services|Administration of millions of COVID-19 vaccinations, including targeted efforts in underserved communities, to support public health.
Walgreens Boots Alliance|WBA|2025-01-21|Partnership with Better Rhodes|Offering non-alcoholic wine and cocktail options at Duane Reade and Walgreens stores in New York City, catering to the growing demand for alcohol-free beverages.
Walgreens Boots Alliance|WBA|2021-01-01|No7 Advanced Retinol 1.5% Complex Night Concentrate|A night concentrate combining retinol with a complex of ingredients to target signs of aging, enhancing the brand's anti-aging offerings.
Walgreens Boots Alliance|WBA|2021-01-01|Boots Pharmaceuticals Pain Relief Range|Expansion of Boots' in-house pharmaceutical range to include various pain relief products, offering accessible over-the-counter solutions for pain management.
Walgreens Boots Alliance|WBA|2021-01-01|Walgreens Find Care Platform|A digital platform connecting customers with healthcare providers for services like telehealth consultations, lab tests, and vaccinations, aiming to streamline healthcare access.
